Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
produzieren,produziere,produzierst,produziert,produzierte,produziert,produzierte,produzier,produziert,haben
arbeiten,arbeite,arbeitest,arbeitet,arbeitete,gearbeitet,arbeitete,arbeite,arbeitet,haben
denken,denke,denkst,denkt,dachte,gedacht,dächte,denk,denkt,haben
kriegen,kriege,kriegst,kriegt,kriegte,gekriegt,kriegte,kriege,kriegt,haben
radebrechen,radebreche,radebrechst,radebrecht,radebrechte,geradebrecht,radebrechte,radebreche,radebrecht,haben
billigen,billige,billigst,billigt,billigte,gebilligt,billigte,billige,billigt,haben
sitzen,sitze,sitzt,sitzt,saß,gesessen,säße,sitz,sitzt,haben
laufen,laufe,läufst,läuft,lief,gelaufen,liefe,lauf,lauft,sein
schreiben,schreibe,schreibst,schreibt,schrieb,geschrieben,schriebe,schreibe,schreibt,haben
verzweifeln,verzweifle,verzweifelst,verzweifelt,verzweifelte,verzweifelt,verzweifelte,verzweifle,verzweifelt,sein
schlagen,schlage,schlägst,schlägt,schlug,geschlagen,schlüge,schlag,schlagt,haben
knuddeln,knuddele,knuddelst,knuddelt,knuddelte,geknuddelt,knuddelte,knuddele,knuddelt,haben
gucken,gucke,guckst,guckt,guckte,geguckt,guckte,guck,guckt,haben
verlieren,verliere,verlierst,verliert,verlor,verloren,verlöre,verliere,verliert,haben
blasen,blase,bläst,bläst,blies,geblasen,bliese,blas,blast,haben
spulgen,spulch mi,spulchst di,spulcht si,,gspulcht,dáád mi spulche,spulch di,spulcht aü,haben
küssen,küsse,küsst,küsst,küsste,geküsst,küsste,küss,küsst,haben
ausrichten,richte aus,richtest aus,richtet aus,richtete aus,ausgerichtet,richtete aus,richte aus,richtet aus,haben
interagieren,interagiere,interagierst,interagiert,interagierte,interagiert,interagierte,interagiere,interagiert,haben
saturieren,saturiere,saturierst,saturiert,saturierte,saturiert,saturierte,saturiere,saturiert,haben
lernen,lerne,lernst,lernt,lernte,gelernt,lernte,lerne,lernt,haben
retten,rette,rettest,rettet,rettete,gerettet,rettete,rette,rettet,haben
autorisieren,autorisiere,autorisierst,autorisiert,autorisierte,autorisiert,autorisierte,autorisier,autorisiert,haben
paraphrasieren,paraphrasiere,paraphrasierst,paraphrasiert,paraphrasierte,paraphrasiert,paraphrasierte,paraphrasier,paraphrasiert,haben
lehren,lehre,lehrst,lehrt,lehrte,gelehrt,lehrte,lehre,lehrt,haben
poppen,poppe,poppst,poppt,poppte,gepoppt,poppte,poppe,poppt,haben
vögeln,vögele,vögelst,vögelt,vögelte,gevögelt,vögelte,vögele,vögelt,haben
stehen,stehe,stehst,steht,stand,gestanden,stünde,stehe,steht,haben
paaren,paare,paarst,paart,paarte,gepaart,paarte,paare,paart,haben
flügeln,flügle,flügelst,flügelt,flügelte,geflügelt,flügelte,flügele,flügelt,haben
paddeln,paddle,paddelst,paddelt,paddelte,gepaddelt,paddelte,paddle,paddelt,sein
paffen,paffe,paffst,pafft,paffte,gepafft,paffte,paff,pafft,haben
ansagen,sage an,sagst an,sagt an,sagte an,angesagt,sagte an,sag an,sagt an,haben
kuscheln,kuschle,kuschelst,kuschelt,kuschelte,gekuschelt,kuschelte,kuschle,kuschelt,haben
aasen,aase,aast,aast,aaste,geaast,aaste,aase,aast,haben
ausreizen,reize aus,reizt aus,reizt aus,reizte aus,ausgereizt,reizte aus,reiz aus,reizt aus,haben
töten,töte,tötest,tötet,tötete,getötet,tötete,töte,tötet,haben
sterben,sterbe,stirbst,stirbt,starb,gestorben,stürbe,stirb,sterbt,sein
paktieren,paktiere,paktierst,paktiert,paktierte,paktiert,paktierte,paktiere,paktiert,haben
mauern,maure,mauerst,mauert,mauerte,gemauert,mauerte,mauer,mauert,haben
weinen,weine,weinst,weint,weinte,geweint,weinte,weine,weint,haben
pudern,pudere,puderst,pudert,puderte,gepudert,puderte,pudere,pudert,haben
pimpern,pimpere,pimperst,pimpert,pimperte,gepimpert,pimperte,pimpere,pimpert,haben
dehnen,dehne,dehnst,dehnt,dehnte,gedehnt,dehnte,dehn,dehnt,haben
sammeln,sammle,sammelst,sammelt,sammelte,gesammelt,sammelte,sammle,sammelt,haben
krökeln,krökele,krökelst,krökelt,krökelte,gekrökelt,krökelte,krökele,krökelt,haben
schnackseln,schnacksle,schnackselst,schnackselt,schnackselte,geschnackselt,schnackselte,schnacksle,schnackselt,haben
koitieren,koitiere,koitierst,koitiert,koitierte,koitiert,koitierte,koitiere,koitiert,haben
schummeln,schummle,schummelst,schummelt,schummelte,geschummelt,schummelte,schummle,schummelt,haben
amalgamieren,amalgamiere,amalgamierst,amalgamiert,amalgamierte,amalgamiert,amalgamierte,amalgamiere,amalgamiert,haben
klauen,klaue,klaust,klaut,klaute,geklaut,klaute,klaue,klaut,haben
fressen,fresse,frisst,frisst,fraß,gefressen,fräße,friss,fresst,haben
schmieren,schmiere,schmierst,schmiert,schmierte,geschmiert,schmierte,schmiere,schmiert,haben
simsen,simse,simst,simst,simste,gesimst,simste,sims,simst,haben
vermeinen,vermeine,vermeinst,vermeint,vermeinte,vermeint,vermeinte,vermeine,vermeint,haben
finishen,finishe,finishst,finisht,finishte,gefinisht,finishte,finishe,finisht,haben
sieben,siebe,siebst,siebt,siebte,gesiebt,siebte,sieb,siebt,haben
aufhören,höre auf,hörst auf,hört auf,hörte auf,aufgehört,hörte auf,hör auf,hört auf,haben
schenken,schenke,schenkst,schenkt,schenkte,geschenkt,schenkte,schenk,schenkt,haben
reden,rede,redest,redet,redete,geredet,redete,red,redet,haben
packen,packe,packst,packt,packte,gepackt,packte,pack,packt,haben
reizen,reize,reizt,reizt,reizte,gereizt,reizte,reize,reizt,haben
palavern,palavre,palaverst,palavert,palaverte,palavert,palaverte,palavere,palavert,haben
kirren,kirre,kirrst,kirrt,kirrte,gekirrt,kirrte,kirr,kirrt,haben
suchen,suche,suchst,sucht,suchte,gesucht,suchte,suche,sucht,haben
hindern,hindere,hinderst,hindert,hinderte,gehindert,hinderte,hindere,hindert,haben
wollen,will,willst,will,wollte,gewollt,wollte,—,—,haben
anstellen,stelle an,stellst an,stellt an,stellte an,angestellt,stellte an,stell an,stellt an,haben
schaffen,schaffe,schaffst,schafft,schuf,geschaffen,schüfe,schaffe,schafft,haben
lassen,lasse,lässt,lässt,ließ,gelassen,ließe,lass,lasst,haben
aufstehen,stehe auf,stehst auf,steht auf,stand auf,aufgestanden,stände auf,steh auf,steht auf,sein
unterhalten,unterhalte,unterhältst,unterhält,unterhielt,unterhalten,unterhielte,unterhalte,unterhaltet,haben
anbieten,biete an,bietest an,bietet an,bot an,angeboten,böte an,biet an,bietet an,haben
schnüffeln,schnüffle,schnüffelst,schnüffelt,schnüffelte,geschnüffelt,schnüffelte,schnüffel,schnüffelt,haben
abacheln,achele ab,achelst ab,achelt ab,achelte ab,abgeachelt,achelte ab,achele ab,achelt ab,haben
panieren,paniere,panierst,paniert,panierte,paniert,panierte,paniere,paniert,haben
entbehren,entbehre,entbehrst,entbehrt,entbehrte,entbehrt,entbehrte,entbehre,entbehrt,haben
schlafen,schlafe,schläfst,schläft,schlief,geschlafen,schliefe,schlaf,schlaft,haben
panschen,pansche,panschst,panscht,panschte,gepanscht,panschte,pansch,panscht,haben
anschneien,schneie an,schneist an,schneit an,schneite an,angeschneit,schneite an,schnei an,schneit an,haben
parken,parke,parkst,parkt,parkte,geparkt,parkte,parke,parkt,haben
quacksalbern,quacksalber,quacksalberst,quacksalbert,quacksalberte,gequacksalbert,quacksalberte,quacksalber,quacksalbert,haben
quaken,quake,quakst,quakt,quakte,gequakt,quakte,quake,quakt,haben
kremieren,kremiere,kremierst,kremiert,kremierte,kremiert,kremierte,kremiere,kremiert,haben
bekommen,bekomme,bekommst,bekommt,bekam,bekommen,bekäme,bekomm,bekommt,haben
zwirnen,zwirne,zwirnst,zwirnt,zwirnte,gezwirnt,zwirnte,zwirne,zwirnt,haben
checken,checke,checkst,checkt,checkte,gecheckt,checkte,check,checkt,haben
kujonieren,kujoniere,kujonierst,kujoniert,kujonierte,kujoniert,kujonierte,kujonier,kujoniert,haben
träumen,träume,träumst,träumt,träumte,geträumt,träumte,träume,träumt,haben
regredieren,regrediere,regredierst,regrediert,regredierte,regrediert,regredierte,regrediere,regrediert,haben
despektieren,despektiere,despektierst,despektiert,despektierte,despektiert,despektierte,despektiere,despektiert,haben
flöten,flöte,flötest,flötet,flötete,geflötet,flötete,flöte,flötet,haben
avisieren,avisiere,avisierst,avisiert,avisierte,avisiert,avisierte,avisiere,avisiert,haben
profilieren,profiliere,profilierst,profiliert,profilierte,profiliert,profilierte,profilier,profiliert,haben
geben,gebe,gibst,gibt,gab,gegeben,gäbe,gib,gebt,haben
mausen,mause,maust,maust,mauste,gemaust,mauste,mause,maust,haben
bürsten,bürste,bürstest,bürstet,bürstete,gebürstet,bürstete,bürste,bürstet,haben
jähren,jähre,jährst,jährt,jährte,gejährt,jährte,jähr,jährt,haben
verkuppeln,verkupple,verkuppelst,verkuppelt,verkuppelte,verkuppelt,verkuppelte,verkupple,verkuppelt,haben
ziehen,ziehe,ziehst,zieht,zog,gezogen,zöge,ziehe,zieht,haben
lachen,lache,lachst,lacht,lachte,gelacht,lachte,lache,lacht,haben
bekriegen,bekriege,bekriegst,bekriegt,bekriegte,bekriegt,bekriegte,bekriege,bekriegt,haben
erregen,errege,erregst,erregt,erregte,erregt,erregte,errege,erregt,haben
antreten,trete an,trittst an,tritt an,trat an,angetreten,träte an,tritt an,tretet an,haben
promovieren,promoviere,promovierst,promoviert,promovierte,promoviert,promovierte,promoviere,promoviert,haben
zunehmen,nehme zu,nimmst zu,nimmt zu,nahm zu,zugenommen,nähme zu,nimm zu,nehmt zu,haben
abnehmen,nehme ab,nimmst ab,nimmt ab,nahm ab,abgenommen,nähme ab,nimm ab,nehmt ab,haben
kriechen,krieche,kriechst,kriecht,kroch,gekrochen,kröche,kriech,kriecht,sein
zeichnen,zeichne,zeichnest,zeichnet,zeichnete,gezeichnet,zeichnete,zeichne,zeichnet,haben
handeln,handle,handelst,handelt,handelte,gehandelt,handelte,handle,handelt,haben
kosten,koste,kostest,kostet,kostete,gekostet,kostete,koste,kostet,haben
ameliorieren,amelioriere,ameliorierst,amelioriert,ameliorierte,amelioriert,ameliorierte,ameliorier,amelioriert,haben
verabschieden,verabschiede,verabschiedest,verabschiedet,verabschiedete,verabschiedet,verabschiedete,verabschied,verabschiedet,haben
tradieren,tradiere,tradierst,tradiert,tradierte,tradiert,tradierte,tradiere,tradiert,haben
wirken,wirke,wirkst,wirkt,wirkte,gewirkt,wirkte,wirk,wirkt,haben
beherbergen,beherberge,beherbergst,beherbergt,beherbergte,beherbergt,beherbergte,beherberg,beherbergt,haben
bumsen,bumse,bumst,bumst,bumste,gebumst,bumste,bums,bumst,haben
desavouieren,desavouiere,desavouierst,desavouiert,desavouierte,desavouiert,desavouierte,desavouiere,desavouiert,haben
kolportieren,kolportiere,kolportierst,kolportiert,kolportierte,kolportiert,kolportierte,kolportiere,kolportiert,haben
fundieren,fundiere,fundierst,fundiert,fundierte,fundiert,fundierte,fundiere,fundiert,haben
heucheln,heuchele,heuchelst,heuchelt,heuchelte,geheuchelt,heuchelte,heuchele,heuchelt,haben
saufen,saufe,säufst,säuft,soff,gesoffen,söffe,sauf,sauft,haben
backen,backe,bäckst,bäckt,buk,gebacken,büke,backe,backt,haben
scheißen,scheiße,scheißt,scheißt,schiss,geschissen,schisse,scheiß,scheißt,haben
recherchieren,recherchiere,recherchierst,recherchiert,recherchierte,recherchiert,recherchierte,recherchiere,recherchiert,haben
konfundieren,konfundiere,konfundierst,konfundiert,konfundierte,konfundiert,konfundierte,konfundier,konfundiert,haben
abbacken,backe ab,backst ab,backt ab,buk ab,abgebacken,büke ab,back ab,backt ab,haben
befangen,befange,befängst,befängt,befinge,befangen,befinge,befang,befangt,haben
antichambrieren,antichambriere,antichambrierst,antichambriert,antichambrierte,antichambriert,antichambrierte,antichambriere,antichambriert,haben
schöpfen,schöpfe,schöpfst,schöpft,schöpfte,geschöpft,schöpfte,schöpfe,schöpft,haben
überlegen,überlege,überlegst,überlegt,überlegte,überlegt,überlegte,überlege,überlegt,haben
spielen,spiele,spielst,spielt,spielte,gespielt,spielte,spiel,spielt,haben
prolongieren,prolongiere,prolongierst,prolongiert,prolongierte,prolongiert,prolongierte,prolongiere,prolongiert,haben
evaluieren,evaluiere,evaluierst,evaluiert,evaluierte,evaluiert,evaluierte,evaluiere,evaluiert,haben
exponieren,exponiere,exponierst,exponiert,exponierte,exponiert,exponierte,exponiere,exponiert,haben
ülmen,ülme,ülmst,ülmt,ülmte,geülmt,ülmte,ülme,ülmt,haben
stilisieren,stilisiere,stilisierst,stilisiert,stilisierte,stilisiert,stilisierte,stilisier,stilisiert,haben
funzen,funze,funzt,funzt,funzte,gefunzt,funzte,funze,funzt,haben
konstituieren,konstituiere,konstituierst,konstituiert,konstituierte,konstituiert,konstituierte,konstituiere,konstituiert,haben
riskieren,riskiere,riskierst,riskiert,riskierte,riskiert,riskierte,riskiere,riskiert,haben
gewinnen,gewinne,gewinnst,gewinnt,gewann,gewonnen,gewönne,gewinn,gewinnt,haben
fallen,falle,fällst,fällt,fiel,gefallen,fiele,falle,fallt,sein
reiten,reite,reitest,reitet,ritt,geritten,ritte,reit,reitet,sein
füttern,füttere,fütterst,füttert,fütterte,gefüttert,fütterte,füttere,füttert,haben
besuchen,besuche,besuchst,besucht,besuchte,besucht,besuchte,besuch,besucht,haben
frieren,friere,frierst,friert,fror,gefroren,fröre,frier,friert,haben
leben,lebe,lebst,lebt,lebte,gelebt,lebte,lebe,lebt,haben
fungieren,fungiere,fungierst,fungiert,fungierte,fungiert,fungierte,fungier,fungiert,haben
indoktrinieren,indoktriniere,indoktrinierst,indoktriniert,indoktrinierte,indoktriniert,indoktrinierte,indoktriniere,indoktriniert,haben
ausmerzen,merze aus,merzt aus,merzt aus,merzte aus,ausgemerzt,merzte aus,merz aus,merzt aus,haben
reglementieren,reglementiere,reglementierst,reglementiert,reglementierte,reglementiert,reglementierte,reglementiere,reglementiert,haben
schälen,schäle,schälst,schält,schälte,geschält,schälte,schäl,schält,haben
beseitigen,beseitige,beseitigst,beseitigt,beseitigte,beseitigt,beseitigte,beseitige,beseitigt,haben
auseinandersetzen,setze auseinander,setzt auseinander,setzt auseinander,setzte auseinander,auseinandergesetzt,setzte auseinander,setz auseinander,setzt auseinander,haben
saugen,sauge,saugst,saugt,saugte,gesaugt,saugte,saug,saugt,haben
implizieren,impliziere,implizierst,impliziert,implizierte,impliziert,implizierte,impliziere,impliziert,haben
kaskadieren,kaskadiere,kaskadierst,kaskadiert,kaskadierte,kaskadiert,kaskadierte,kaskadier,kaskadiert,haben
raiden,raide,raidest,raidet,raidete,geraidet,raidete,raide,raidet,haben
aliquotieren,aliquotiere,aliquotierst,aliquotiert,aliquotierte,aliquotiert,aliquotierte,aliquotiere,aliquotiert,haben
foppen,foppe,foppst,foppt,foppte,gefoppt,foppte,fopp,foppt,haben
ändern,ändere,änderst,ändert,änderte,geändert,änderte,ändere,ändert,haben
transformieren,transformiere,transformierst,transformiert,transformierte,transformiert,transformierte,transformiere,transformiert,haben
kompromittieren,kompromittiere,kompromittierst,kompromittiert,kompromittierte,kompromittiert,kompromittierte,kompromittier,kompromittiert,haben
zahlen,zahle,zahlst,zahlt,zahlte,gezahlt,zahlte,zahle,zahlt,haben
dingen,dinge,dingst,dingt,dang,gedungen,dänge,dinge,dingt,haben
spinnen,spinne,spinnst,spinnt,spann,gesponnen,spönne,spinn,spinnt,haben
spleißen,spleiße,spleißt,spleißt,spliss,gesplissen,splisse,spleiß,spleißt,haben
verklären,verkläre,verklärst,verklärt,verklärte,verklärt,verklärte,verkläre,verklärt,haben
stippen,stippe,stippst,stippt,stippte,gestippt,stippte,stipp,stippt,haben
medisieren,medisiere,medisierst,medisiert,medisierte,medisiert,medisierte,medisier,medisiert,haben
paraphieren,paraphiere,paraphierst,paraphiert,paraphierte,paraphiert,paraphierte,paraphiere,paraphiert,haben
proggen,progge,proggst,proggt,proggte,geproggt,proggte,progge,proggt,haben
beobachten,beobachte,beobachtest,beobachtet,beobachtete,beobachtet,beobachtete,beobachte,beobachtet,haben
daddeln,daddle,daddelst,daddelt,daddelte,gedaddelt,daddelte,daddle,daddelt,haben
einen,eine,einst,eint,einte,geeint,einte,eine,eint,haben
sistieren,sistiere,sistierst,sistiert,sistierte,sistiert,sistierte,sistiere,sistiert,haben
monetarisieren,monetarisiere,monetarisierst,monetarisiert,monetarisierte,monetarisiert,monetarisierte,monetarisier,monetarisiert,haben
beschälen,—,—,beschält,beschälte,beschält,beschälte,—,—,haben
reüssieren,reüssiere,reüssierst,reüssiert,reüssierte,reüssiert,reüssierte,reüssiere,reüssiert,haben
absorbieren,absorbiere,absorbierst,absorbiert,absorbierte,absorbiert,absorbierte,absorbiere,absorbiert,haben
chillen,chille,chillst,chillt,chillte,gechillt,chillte,chill,chillt,haben
lancieren,lanciere,lancierst,lanciert,lancierte,lanciert,lancierte,lanciere,lanciert,haben
antizipieren,antizipiere,antizipierst,antizipiert,antizipierte,antizipiert,antizipierte,antizipier,antizipiert,haben
hasardieren,hasardiere,hasardierst,hasardiert,hasardierte,hasardiert,hasardierte,hasardiere,hasardiert,haben
adsorbieren,adsorbiere,adsorbierst,adsorbiert,adsorbierte,adsorbiert,adsorbierte,adsorbiere,adsorbiert,haben
intervenieren,interveniere,intervenierst,interveniert,intervenierte,interveniert,intervenierte,interveniere,interveniert,haben
pushen,pushe,pushst,pusht,pushte,gepusht,pushte,push,pusht,haben
annektieren,annektiere,annektierst,annektiert,annektierte,annektiert,annektierte,annektier,annektiert,haben
streichen,streiche,streichst,streicht,strich,gestrichen,striche,streiche,streicht,haben
reisen,reise,reist,reist,reiste,gereist,reiste,reise,reist,sein
krakeelen,krakeele,krakeelst,krakeelt,krakeelte,krakeelt,krakeelte,krakeel,krakeelt,haben
postulieren,postuliere,postulierst,postuliert,postulierte,postuliert,postulierte,postuliere,postuliert,haben
innervieren,innerviere,innervierst,innerviert,innervierte,innerviert,innervierte,innervier,innerviert,haben
schwätzen,schwätze,schwätzt,schwätzt,schwätzte,geschwätzt,schwätzte,schwätze,schwätzt,haben
massolieren,massoliere,massolierst,massoliert,massolierte,massoliert,massolierte,massoliere,massoliert,haben
restringieren,restringiere,restringierst,restringiert,restringierte,restringiert,restringierte,restringiere,restringiert,haben
onanieren,onaniere,onanierst,onaniert,onanierte,onaniert,onanierte,onaniere,onaniert,haben
denunzieren,denunziere,denunzierst,denunziert,denunzierte,denunziert,denunzierte,denunziere,denunziert,haben
laktieren,laktiere,laktierst,laktiert,laktierte,laktiert,laktierte,laktiere,laktiert,haben
verballhornen,verballhorne,verballhornst,verballhornt,verballhornte,verballhornt,verballhornte,verballhorne,verballhornt,haben
defilieren,defiliere,defilierst,defiliert,defilierte,defiliert,defilierte,defilier,defiliert,haben
knetschen,knetsche,knetschst,knetscht,knetschte,geknetscht,knetschte,knetsch,knetscht,sein
mailen,maile,mailst,mailt,mailte,gemailt,mailte,mail,mailt,haben
perennieren,perenniere,perennierst,perenniert,perennierte,perenniert,perennierte,perennier,perenniert,sein
substantivieren,substantiviere,substantivierst,substantiviert,substantivierte,substantiviert,substantivierte,substantiviere,substantiviert,haben
abändern,ändre ab,änderst ab,ändert ab,änderte ab,abgeändert,änderte ab,ändre ab,ändert ab,haben
abbaden,bade ab,badest ab,badet ab,badete ab,abgebadet,badete ab,bade ab,badet ab,haben
abbalgen,balge ab,balgst ab,balgt ab,balgte ab,abgebalgt,balgte ab,balg ab,balgt ab,haben
abbaken,bake ab,bakst ab,bakt ab,bakte ab,abgebakt,bakte ab,bake ab,bakt ab,haben
abbalzen,balze ab,balzt ab,balzt ab,balzte ab,abgebalzt,balzte ab,balz ab,balzt ab,haben
abbangen,bange ab,bangst ab,bangt ab,bangte ab,abgebangt,bangte ab,bang ab,bangt ab,haben
abbasten,baste ab,bastest ab,bastet ab,bastete ab,abgebastet,bastete ab,baste ab,bastet ab,haben
abbeißen,beiße ab,beißt ab,beißt ab,biss ab,abgebissen,bisse ab,beiß ab,beißt ab,haben
requirieren,requiriere,requirierst,requiriert,requirierte,requiriert,requirierte,requiriere,requiriert,haben
abbegehren,begehre ab,begehrst ab,begehrt ab,begehrte ab,abbegehrt,begehrte ab,begehr ab,begehrt ab,haben
abbeeren,beere ab,beerst ab,beert ab,beerte ab,abgebeert,beerte ab,beer ab,beert ab,haben
abbefehlen,befehle ab,befiehlst ab,befiehlt ab,befahl ab,abbefohlen,beföhle ab,befiehl ab,befiehlt ab,haben
abbeizen,beize ab,beizt ab,beizt ab,beizte ab,abgebeizt,beizte ab,beiz ab,beizt ab,haben
abbekommen,bekomme ab,bekommst ab,bekommt ab,bekam ab,abbekommen,bekäme ab,bekomm ab,bekommt ab,haben
abberufen,berufe ab,berufst ab,beruft ab,berief ab,abberufen,beriefe ab,beruf ab,beruft ab,haben
ennuyieren,ennuyiere,ennuyierst,ennuyiert,ennuyierte,ennuyiert,ennuyierte,ennuyiere,ennuyiert,haben
sengen,senge,sengst,sengt,sengte,gesengt,sengte,senge,sengt,haben
ownen,owne,ownst,ownt,ownte,geownt,ownte,own,ownt,haben
tangieren,tangiere,tangierst,tangiert,tangierte,tangiert,tangierte,tangier,tangiert,haben
insistieren,insistiere,insistierst,insistiert,insistierte,insistiert,insistierte,insistiere,insistiert,haben
übersetzen,übersetze,übersetzt,übersetzt,übersetzte,übersetzt,übersetzte,übersetz,übersetzt,haben
finden,finde,findest,findet,fand,gefunden,fände,finde,findet,haben
substituieren,substituiere,substituierst,substituiert,substituierte,substituiert,substituierte,substituier,substituiert,haben
abschmirgeln,schmirgele ab,schmirgelst ab,schmirgelt ab,schmirgelte ab,abgeschmirgelt,schmirgelte ab,schmirgele ab,schmirgelt ab,haben
schmirgeln,schmirgle,schmirgelst,schmirgelt,schmirgelte,geschmirgelt,schmirgelte,schmirgel,schmirgelt,haben
